"name","description",latitude,longitude
"260","5501 S SAWYER AVE",41.793307,-87.704582
"2600","435 W OAK ST",41.900309,-87.640353
"2601","137 W OAK ST",41.900431,-87.633009
"2602","990 N MICHIGAN AVE",41.90068,-87.624341
"2603","600 N DEARBORN ST",41.892544,-87.629789
"2604","599 N DESPLAINES ST",41.892214,-87.644259
"2605","300 E OHIO ST",41.892739,-87.619977
"2606","600 N FRANKLIN ST",41.892474,-87.635713
"2607","600 N LAKE SHORE DR",41.892779,-87.614609
"2608","600 N MICHIGAN AVE",41.892599,-87.624235
"2609","40 E OHIO ST",41.892629,-87.626447
"2610","630 N MICHIGAN AVE",41.893557,-87.624385
"2611","620 N ORLEANS ST",41.893193,-87.637151
"2612","620 N RUSH ST",41.893113,-87.625567
"2613","200 E ONTARIO ST",41.8935,-87.622459
"2613","200 E ONTARIO ST",41.8935,-87.622459
"2614","5 W ONTARIO ST",41.893149,-87.628424
"2615","200 W ONTARIO ST",41.893285,-87.634264
"2616","820 N MICHIGAN AVE",41.897493,-87.624894
"2617","50 E PEARSON ST",41.897677,-87.626609
"2618","800 S CANAL ST",41.871783,-87.639514
"2619","800 S DESPLAINES ST",41.871911,-87.643883
"2620","799 W POLK ST",41.871845,-87.646832
"2621","230 S FRANKLIN ST",41.878978,-87.635398
"2622","150 N CLARK ST",41.884264,-87.631096
"2623","540 W RANDOLPH ST",41.884498,-87.640999
"2624","280 E RANDOLPH ST",41.884651,-87.621035
"2625","50 W RANDOLPH ST",41.884572,-87.629627
"2626","630 W RANDOLPH ST",41.884496,-87.644323
"2627","800 W RANDOLPH ST",41.884562,-87.647597
"2628","150 W RANDOLPH ST",41.88457,-87.632593
"2629","407 W RANDOLPH ST",41.884361,-87.638596
"2630","50 E RANDOLPH ST",41.884554,-87.626111
"2631","360 W RANDOLPH ST",41.884614,-87.637385
"2632","300 W RANDOLPH ST",41.884565,-87.635536
"2633","490 W ROOSEVELT RD",41.867324,-87.639119
"2634","1200 S COLUMBUS DR",41.870353,-87.620722
"2635","600 W ROOSEVELT RD",41.867312,-87.642349
"2636","1200 S LAKE SHORE DR E",41.86517,-87.615542
"2637","308 W ROOSEVELT RD",41.867541,-87.635152
"2638","300 E SUPERIOR ST",41.895932,-87.619933
"2639","300 W SUPERIOR ST",41.895684,-87.635846
"2640","130 W SUPERIOR ST",41.895757,-87.632368
"2641","430 E SUPERIOR ST",41.895968,-87.617879
"2642","400 W SUPERIOR ST",41.89565,-87.638704
"2643","35 E SUPERIOR ST",41.895607,-87.626953
"2644","1000 S JEFFERSON ST",41.869641,-87.64232
"2645","1 E MONROE ST",41.880651,-87.62756
"2646","1 S MICHIGAN AVE",41.881974,-87.624027
"2647","10 N MICHIGAN AVE",41.882302,-87.624665
"2648","40 N MICHIGAN AVE",41.882576,-87.624672
"2649","60 N MICHIGAN AVE",41.882759,-87.624677
"2650","1 N MICHIGAN AVE",41.882233,-87.624052
"2651","1 E MONROE ST",41.880651,-87.62756
"2652","11 N MICHIGAN AVE",41.882323,-87.624004
"2653","55 N MICHIGAN AVE",41.882717,-87.624015
"2654","900 N HALSTED ST",41.899077,-87.64799
"2655","400 N MICHIGAN AVE",41.889401,-87.624349
"2656","400 N RUSH ST",41.889642,-87.625315
"2657","435 N COLUMBUS DR",41.890021,-87.62019
"27","32 W 95TH ST",41.72193,-87.625329
"2700","500 W VAN BUREN ST",41.876816,-87.63993
"2702","100 W VAN BUREN ST",41.876974,-87.630857
"2703","159 W VAN BUREN ST",41.876787,-87.632586
"2704","400 S FRANKLIN ST",41.876747,-87.635283
"2705","800 W VAN BUREN ST",41.876746,-87.647317
"2706","1 W VAN BUREN ST",41.876853,-87.627772
"2707","299 E WACKER DR",41.887788,-87.620822
"2708","40 W WACKER DR",41.887097,-87.629128
"2709","299 N FIELD BLVD",41.885015,-87.617399
"2710","299 W WACKER DR",41.886757,-87.635362
"2711","199 W WACKER DR",41.88668,-87.633826
"2712","330 N LAKE SHORE DR NB",41.88415,-87.632409
"2713","249 N STATE ST",41.886246,-87.627924
"2714","41 E WACKER DR",41.886689,-87.626994
"2715","200 W WACKER DR",41.887037,-87.634035
"2717","201 W WALTON ST",41.899662,-87.634478
"2718","500 W WASHINGTON BLVD",41.883314,-87.639926
"2719","400 W WASHINGTON ST",41.883289,-87.638635
"272","2406 N MARMORA AVE",41.924159,-87.773475
"2720","100 N CLARK ST",41.883306,-87.63097
"2721","40 W WASHINGTON ST",41.883362,-87.62904
"2722","800 W WASHINGTON BLVD",41.883234,-87.647543
"2723","150 W WASHINGTON ST",41.883345,-87.632558
"2724","100 N MICHIGAN AVE",41.883371,-87.624671
"2725","100 N STATE ST",41.883365,-87.628041
"2726","350 W WASHINGTON ST",41.883282,-87.637141
"2727","100 N WELLS ST",41.883293,-87.633948
"2728","200 W WASHINGTON ST",41.883304,-87.63401
"2729","199 W WENDELL ST",41.901243,-87.634278
"273","3558 W MC LEAN AVE",41.918347,-87.715734
"2730","400 N COLUMBUS DR",41.88966,-87.620506
"2731","401 N COLUMBUS DR",41.889646,-87.620348
"2732","380 N MICHIGAN AVE",41.888059,-87.624688
